
> diliinfo-backend@0.1.0 dev:port
> wrangler dev --port 8787


 ⛅️ wrangler 4.22.0 (update available 4.25.0)
─────────────────────────────────────────────
Your Worker has access to the following bindings:
Binding                                                     Resource                  Mode
env.DB (diliinfo-db-dev)                                    D1 Database               local
env.JWT_SECRET ("dev-jwt-secret-change-in-production")      Environment Variable      local

⎔ Starting local server...
[wrangler:info] Ready on http://localhost:8787
[wrangler:info] GET / 404 Not Found (6ms)
[wrangler:info] POST /api/applications/guest 200 OK (129ms)
[wrangler:info] GET /pv.gif 200 OK (176ms)
[wrangler:info] POST /api/applications/guest 200 OK (210ms)
[wrangler:info] POST /api/auth/register 200 OK (268ms)
[wrangler:info] PUT /api/applications/9ae009f3-6cd6-4e62-9073-e63f1654241e/step 200 OK (83ms)
[wrangler:info] PUT /api/applications/9ae009f3-6cd6-4e62-9073-e63f1654241e/step 200 OK (156ms)
[wrangler:info] POST /api/applications/guest 200 OK (150ms)
[wrangler:info] GET /pv.gif 200 OK (222ms)
[wrangler:info] POST /api/applications/guest 200 OK (260ms)
[wrangler:info] POST /api/applications/guest 200 OK (155ms)
[wrangler:info] GET /pv.gif 200 OK (239ms)
[wrangler:info] POST /api/applications/guest 200 OK (282ms)
[wrangler:info] POST /api/applications/guest 200 OK (112ms)
[wrangler:info] GET /pv.gif 200 OK (208ms)
[wrangler:info] POST /api/applications/guest 200 OK (252ms)
[wrangler:info] POST /api/auth/register 200 OK (354ms)
[wrangler:info] PUT /api/applications/914a2158-51d8-483e-b25c-7239ae800ce3/step 200 OK (113ms)
[wrangler:info] PUT /api/applications/914a2158-51d8-483e-b25c-7239ae800ce3/step 200 OK (172ms)
[wrangler:info] PUT /api/applications/914a2158-51d8-483e-b25c-7239ae800ce3/step 200 OK (166ms)
[wrangler:info] PUT /api/applications/914a2158-51d8-483e-b25c-7239ae800ce3/step 200 OK (59ms)
[wrangler:info] POST /api/applications/guest 200 OK (40ms)
[wrangler:info] GET /pv.gif 200 OK (55ms)
[wrangler:info] POST /api/applications/guest 200 OK (63ms)
[wrangler:info] POST /api/auth/register 200 OK (63ms)
[wrangler:info] PUT /api/applications/5bf9ceff-a363-4918-9258-23e94c543d52/step 200 OK (21ms)
[wrangler:info] PUT /api/applications/5bf9ceff-a363-4918-9258-23e94c543d52/step 200 OK (36ms)
[wrangler:info] PUT /api/applications/5bf9ceff-a363-4918-9258-23e94c543d52/step 200 OK (33ms)
[wrangler:info] PUT /api/applications/5bf9ceff-a363-4918-9258-23e94c543d52/step 200 OK (35ms)
[wrangler:info] PUT /api/applications/5bf9ceff-a363-4918-9258-23e94c543d52/step 200 OK (33ms)
[wrangler:info] PUT /api/applications/5bf9ceff-a363-4918-9258-23e94c543d52/step 200 OK (19ms)
[wrangler:info] PUT /api/applications/5bf9ceff-a363-4918-9258-23e94c543d52/step 200 OK (21ms)
[wrangler:info] PUT /api/applications/5bf9ceff-a363-4918-9258-23e94c543d52/step 200 OK (34ms)
[wrangler:info] PUT /api/applications/5bf9ceff-a363-4918-9258-23e94c543d52/step 200 OK (20ms)
[wrangler:info] PUT /api/applications/5bf9ceff-a363-4918-9258-23e94c543d52/step 200 OK (54ms)
[wrangler:info] PUT /api/applications/5bf9ceff-a363-4918-9258-23e94c543d52/step 200 OK (53ms)
[wrangler:info] POST /api/applications/guest 200 OK (16ms)
[wrangler:info] POST /api/applications/guest 200 OK (29ms)
[wrangler:info] GET /pv.gif 200 OK (25ms)
[wrangler:info] POST /api/applications/guest 200 OK (17ms)
[wrangler:info] GET /pv.gif 200 OK (18ms)
[wrangler:info] POST /api/applications/guest 200 OK (28ms)
[wrangler:info] POST /api/applications/guest 200 OK (17ms)
[wrangler:info] GET /pv.gif 200 OK (19ms)
[wrangler:info] POST /api/applications/guest 200 OK (29ms)
[wrangler:info] POST /api/applications/guest 200 OK (13ms)
